longitude,latitude,species
-84.096844,36.234474,Boletus pallidus 
-83.044827,35.750777,Amanita citrina 
-83.869432,35.956888,Hygrophorus eburneus 
-84.203262,35.579345,Thelophora palmata 
-80.016341,32.67368,Cantharellus cibarius 
-84.081141,36.219852,Entoloma aboritivum 
-83.925501,36.247179,Cuphophylus virgineus 
-83.866712,35.866076,Phlebia incarnata 
-83.944197,35.9330546,Xylaria polymorpha 
-83.863624,35.9761,Coprinellus micaceus 
-84.155302,36.048596,Pleurotus ostreatus 
-84.223932,36.324492,Pycnoporus cinnabarinus 
-89.941193,35.137569,Russula mairei 
-89.941193,35.137569,Lycoperdon pyriforme 
-82.450115,35.446509,Lactarius vinaceorufescens 
-82.789816,35.708249,Hypomyces lateritius 
-83.879097,35.88588,Ganoderma applanatum 
